"","bbc.com","cnn.com","nytimes.com","theguardian.com","msn.com","yahoo.com","bild.de","spiegel.de","n-tv.de","welt.de","focus.de","sueddeutsche.de","faz.net","stern.de","zeit.de","zdf.de","rtl.de","t-online.de","gmx.net","web.de","ard.de/tagesschau.de","sat1.de/prosieben.de"
"media_leanings",3.93010589709361,4.11683877506998,4.14074058819266,3.62760867954916,4.08365626428025,4.21966756296196,4.40307376499148,3.76524716223645,4.19041678219198,4.34142491281496,4.23108160767333,3.66360282633623,3.96384390794801,3.90393365139772,3.69894354296759,3.84992204874319,4.19833411459587,4.02953818888705,3.96571668544855,4.12304093299404,3.70908942221723,4.21488949040925
"popularity",65.1215621512471,85.8409667130551,54.36343841362,38.3493706585407,77.6848451262881,82.4444190456395,276.525318593309,229.231201961886,268.957041310239,205.754800250492,209.779455870838,118.675215092343,102.301791596347,96.2381035174066,134.466107827904,161.920168287573,108.016668017922,292.658686797794,165.434110335176,240.590660249487,351.608075614269,57.0049405408231
"rank",19,16,21,22,18,17,3,6,4,8,7,12,14,15,11,10,13,2,9,5,1,20
